row_index,row_id,phase,dataset,dataset_name,dataset_config,dataset_revision,dataset_streaming,text_column,train_split,val_split,train_skip_documents,validation_skip_documents,train_skip_tokens,val_skip_tokens,cache_dir,model,layers,d_model,heads,ffn_dim,seq_len,batch_size,grad_accum,global_tokens_per_step,train_tokens,val_tokens,steps,eval_interval,eval_batches,log_interval,seed,method,activation,optimizer,lr,min_lr,weight_decay,warmup_steps,beta1,beta2,eps,grad_clip,muon_momentum,muon_ns_steps,muon_adjust_lr_fn,init_std,rational_init,post_rational_init,rational_group_size,rational_max_groups,probe_batch_size,matrix_spectrum_interval,telemetry_rlb_stat_every,sam_rho,sam_adaptive,tokenizer,tokenizer_revision,extra_args
31,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_soap,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--soap-precondition-frequency 50 --no-soap-one-sided
32,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_ademamix,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,silu_ademamix,silu,ademamix,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
33,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_ademamix,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
34,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_came,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,silu_came,silu,adafactor_came,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--came-confidence-scale 1.0
35,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_came,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--came-confidence-scale 1.0
36,12l_768d_100m_tokens_3050_steps_dclm_seed2027_silu_schedulefree,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,silu_schedulefree,silu,schedule_free_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
37,12l_768d_100m_tokens_3050_steps_dclm_seed2027_rlb_schedulefree,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
38,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_adamw,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
39,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_adamw,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
40,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_muon,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_muon,silu,muon,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
41,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_muon,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_muon,rlb_fused_global_rational,muon,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
42,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_lion,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_lion,silu,lion,0.0001,0.00001,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
43,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_lion,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_lion,rlb_fused_global_rational,lion,0.0001,0.00001,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
44,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_soap,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_soap,silu,soap_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--soap-precondition-frequency 50 --no-soap-one-sided
45,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_soap,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--soap-precondition-frequency 50 --no-soap-one-sided
46,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_ademamix,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_ademamix,silu,ademamix,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
47,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_ademamix,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
48,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_came,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_came,silu,adafactor_came,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--came-confidence-scale 1.0
49,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_came,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--came-confidence-scale 1.0
50,12l_768d_100m_tokens_3050_steps_dclm_seed3407_silu_schedulefree,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,silu_schedulefree,silu,schedule_free_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
51,12l_768d_100m_tokens_3050_steps_dclm_seed3407_rlb_schedulefree,12l_768d_100m_tokens_3050_steps,dclm,mlfoundations/dclm-baseline-1.0,none,a3b142c183aebe5af344955ae20836eb34dcf69b,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/dclm,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,3407,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
52,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_adamw,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
53,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_adamw,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
54,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_muon,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_muon,silu,muon,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
55,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_muon,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_muon,rlb_fused_global_rational,muon,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
56,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_lion,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_lion,silu,lion,0.0001,0.00001,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
57,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_lion,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_lion,rlb_fused_global_rational,lion,0.0001,0.00001,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
58,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_soap,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_soap,silu,soap_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--soap-precondition-frequency 50 --no-soap-one-sided
59,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_soap,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--soap-precondition-frequency 50 --no-soap-one-sided
60,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_ademamix,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_ademamix,silu,ademamix,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
61,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_ademamix,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
62,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_came,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_came,silu,adafactor_came,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--came-confidence-scale 1.0
63,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_came,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--came-confidence-scale 1.0
64,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_silu_schedulefree,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,silu_schedulefree,silu,schedule_free_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
65,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed1337_rlb_schedulefree,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,1337,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
66,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed2027_silu_adamw,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,silu_adamw,silu,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
67,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed2027_rlb_adamw,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,
68,12l_768d_100m_tokens_3050_steps_fineweb_edu_seed2027_silu_muon,12l_768d_100m_tokens_3050_steps,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,true,text,train,train,0,0,0,210000000,experiments/cache/tokens_iclr26_main/fineweb_edu,12l_768d,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,10,2027,silu_muon,silu,muon,0.0003,0.00003,0.10,200,0.90,0.95,0.00000001,1.0,0.95,5,match_rms_adamw,0.02,silu,identity,256,32,1,250,4,0.0,false,gpt2,607a30d783dfa663caf39e06633721c8d4cfcd7e,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
