row_index,row_id,phase,dataset,dataset_name,dataset_config,text_column,train_split,val_split,val_skip_tokens,model,layers,d_model,heads,ffn_dim,seq_len,batch_size,grad_accum,global_tokens_per_step,train_tokens,val_tokens,steps,eval_interval,eval_batches,seed,method,activation,optimizer,lr,min_lr,weight_decay,extra_args
0,E1_matrixpolicyV5_100m_dclm_m0_100m_seed1337_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
1,E1_matrixpolicyV5_100m_dclm_m0_100m_seed2027_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
2,E1_matrixpolicyV5_100m_dclm_m0_100m_seed3407_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
3,E1_matrixpolicyV5_100m_fineweb_edu_m0_100m_seed1337_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
4,E1_matrixpolicyV5_100m_fineweb_edu_m0_100m_seed2027_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
5,E1_matrixpolicyV5_100m_fineweb_edu_m0_100m_seed3407_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
6,E1_matrixpolicyV5_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,fineweb,HuggingFaceFW/fineweb,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
7,E1_matrixpolicyV5_100m_fineweb_m0_100m_seed2027_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,fineweb,HuggingFaceFW/fineweb,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
8,E1_matrixpolicyV5_100m_fineweb_m0_100m_seed3407_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,fineweb,HuggingFaceFW/fineweb,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
9,E1_matrixpolicyV5_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicyV5,E1_matrixpolicyV5_100m,dolma_sample,allenai/dolma,v1_6-sample,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_matrixpolicyV5,rlb_fused_fixed_strong_ffn,matrixpolicyV5,0.0003,0.00003,0.10,--rational-matrix-policy-backbone-optimizer adamw --rational-matrix-policy-adam-lr-scale 3.0 --rational-matrix-policy-group-gain-strength 0.20 --rational-matrix-policy-group-pressure-strength 0.10 --rational-matrix-policy-group-activity-damping 0.20 --rational-matrix-policy-group-start 0.02 --rational-matrix-policy-group-end 0.30 --rational-matrix-policy-group-min-scale 0.75 --rational-matrix-policy-group-max-scale 1.35 --matrixpolicy-v5-functional-metric-strength 1.0 --matrixpolicy-v5-functional-metric-start 0.02 --matrixpolicy-v5-functional-metric-end 0.20 --matrixpolicy-v5-functional-metric-decay-start 1.1 --matrixpolicy-v5-functional-metric-decay-end 1.1 --matrixpolicy-v5-functional-metric-min-scale 0.70 --matrixpolicy-v5-functional-metric-max-scale 1.45
