budget_tokens,dataset,target_loss,baseline,method,n_pairs,common_hits,baseline_only_hits,method_only_hits,both_missing,wins_method_earlier,ties_same_tokens,losses_method_later,mean_delta_method_minus_baseline_tokens,median_delta_method_minus_baseline_tokens,mean_delta_method_minus_baseline_hit_minutes,mean_delta_method_minus_baseline_final_loss
100000000,c4_en,4.30,full,no_role_depth,3,1,2,0,0,0,0,1,4915200.000,4915200.000,3.305,0.014944
100000000,c4_en,4.30,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,2.360,0.000045
100000000,c4_en,4.30,full,role_depth_v3,3,1,2,0,0,0,0,1,4915200.000,4915200.000,-0.972,0.015746
100000000,c4_en,4.30,full,role_depth_v4,3,2,1,0,0,0,1,1,819200.000,819200.000,2.543,0.004075
100000000,c4_en,4.30,full,role_depth_v5,3,3,0,0,0,0,3,0,0.000,0.000,0.607,0.000070
100000000,c4_en,4.30,full,role_depth_v6,3,2,1,0,0,0,0,2,1638400.000,1638400.000,2.442,0.004568
100000000,c4_en,4.30,no_role_depth,full,3,1,0,2,0,1,0,0,-4915200.000,-4915200.000,-3.305,-0.014944
100000000,c4_en,4.30,no_role_depth,role_depth_v2,3,1,0,2,0,1,0,0,-4915200.000,-4915200.000,-3.580,-0.014899
100000000,c4_en,4.30,no_role_depth,role_depth_v3,3,1,0,0,2,0,1,0,0.000,0.000,-4.277,0.000802
100000000,c4_en,4.30,no_role_depth,role_depth_v4,3,1,0,1,1,1,0,0,-4915200.000,-4915200.000,-1.180,-0.010869
100000000,c4_en,4.30,no_role_depth,role_depth_v5,3,1,0,2,0,1,0,0,-4915200.000,-4915200.000,-1.290,-0.014874
100000000,c4_en,4.30,no_role_depth,role_depth_v6,3,1,0,1,1,1,0,0,-3276800.000,-3276800.000,0.730,-0.010376
100000000,c4_en,4.40,full,no_role_depth,3,3,0,0,0,0,0,3,2184533.333,1638400.000,-0.478,0.014944
100000000,c4_en,4.40,full,role_depth_v2,3,3,0,0,0,0,2,1,546133.333,0.000,1.869,0.000045
100000000,c4_en,4.40,full,role_depth_v3,3,3,0,0,0,0,0,3,2184533.333,1638400.000,-0.490,0.015746
100000000,c4_en,4.40,full,role_depth_v4,3,3,0,0,0,0,2,1,546133.333,0.000,0.425,0.004075
100000000,c4_en,4.40,full,role_depth_v5,3,3,0,0,0,0,3,0,0.000,0.000,0.481,0.000070
100000000,c4_en,4.40,full,role_depth_v6,3,3,0,0,0,0,2,1,546133.333,0.000,1.038,0.004568
100000000,c4_en,4.40,no_role_depth,full,3,3,0,0,0,3,0,0,-2184533.333,-1638400.000,0.478,-0.014944
100000000,c4_en,4.40,no_role_depth,role_depth_v2,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,2.347,-0.014899
100000000,c4_en,4.40,no_role_depth,role_depth_v3,3,3,0,0,0,0,3,0,0.000,0.000,-0.012,0.000802
100000000,c4_en,4.40,no_role_depth,role_depth_v4,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,0.903,-0.010869
100000000,c4_en,4.40,no_role_depth,role_depth_v5,3,3,0,0,0,3,0,0,-2184533.333,-1638400.000,0.960,-0.014874
100000000,c4_en,4.40,no_role_depth,role_depth_v6,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,1.517,-0.010376
100000000,c4_en,4.50,full,no_role_depth,3,3,0,0,0,0,1,2,1092266.667,1638400.000,-0.534,0.014944
100000000,c4_en,4.50,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,1.429,0.000045
100000000,c4_en,4.50,full,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,-0.667,0.015746
100000000,c4_en,4.50,full,role_depth_v4,3,3,0,0,0,1,2,0,-546133.333,0.000,0.142,0.004075
100000000,c4_en,4.50,full,role_depth_v5,3,3,0,0,0,1,2,0,-546133.333,0.000,0.274,0.000070
100000000,c4_en,4.50,full,role_depth_v6,3,3,0,0,0,1,2,0,-546133.333,0.000,0.636,0.004568
100000000,c4_en,4.50,no_role_depth,full,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,0.534,-0.014944
100000000,c4_en,4.50,no_role_depth,role_depth_v2,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,1.963,-0.014899
100000000,c4_en,4.50,no_role_depth,role_depth_v3,3,3,0,0,0,1,2,0,-546133.333,0.000,-0.133,0.000802
100000000,c4_en,4.50,no_role_depth,role_depth_v4,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,0.676,-0.010869
100000000,c4_en,4.50,no_role_depth,role_depth_v5,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,0.808,-0.014874
100000000,c4_en,4.50,no_role_depth,role_depth_v6,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,1.170,-0.010376
100000000,c4_en,4.60,full,no_role_depth,3,3,0,0,0,0,2,1,546133.333,0.000,-0.539,0.014944
100000000,c4_en,4.60,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,1.207,0.000045
100000000,c4_en,4.60,full,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,-0.556,0.015746
100000000,c4_en,4.60,full,role_depth_v4,3,3,0,0,0,0,3,0,0.000,0.000,0.230,0.004075
100000000,c4_en,4.60,full,role_depth_v5,3,3,0,0,0,0,3,0,0.000,0.000,0.344,0.000070
100000000,c4_en,4.60,full,role_depth_v6,3,3,0,0,0,1,2,0,-546133.333,0.000,0.536,0.004568
100000000,c4_en,4.60,no_role_depth,full,3,3,0,0,0,1,2,0,-546133.333,0.000,0.539,-0.014944
100000000,c4_en,4.60,no_role_depth,role_depth_v2,3,3,0,0,0,1,2,0,-546133.333,0.000,1.746,-0.014899
100000000,c4_en,4.60,no_role_depth,role_depth_v3,3,3,0,0,0,0,3,0,0.000,0.000,-0.017,0.000802
100000000,c4_en,4.60,no_role_depth,role_depth_v4,3,3,0,0,0,1,2,0,-546133.333,0.000,0.769,-0.010869
100000000,c4_en,4.60,no_role_depth,role_depth_v5,3,3,0,0,0,1,2,0,-546133.333,0.000,0.883,-0.014874
100000000,c4_en,4.60,no_role_depth,role_depth_v6,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,1.074,-0.010376
100000000,c4_en,4.80,full,no_role_depth,3,3,0,0,0,0,2,1,546133.333,0.000,-0.363,0.014944
100000000,c4_en,4.80,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,0.894,0.000045
100000000,c4_en,4.80,full,role_depth_v3,3,3,0,0,0,0,1,2,1092266.667,1638400.000,-0.268,0.015746
100000000,c4_en,4.80,full,role_depth_v4,3,3,0,0,0,0,3,0,0.000,0.000,0.180,0.004075
100000000,c4_en,4.80,full,role_depth_v5,3,3,0,0,0,0,3,0,0.000,0.000,0.265,0.000070
100000000,c4_en,4.80,full,role_depth_v6,3,3,0,0,0,0,3,0,0.000,0.000,0.502,0.004568
100000000,c4_en,4.80,no_role_depth,full,3,3,0,0,0,1,2,0,-546133.333,0.000,0.363,-0.014944
100000000,c4_en,4.80,no_role_depth,role_depth_v2,3,3,0,0,0,1,2,0,-546133.333,0.000,1.257,-0.014899
100000000,c4_en,4.80,no_role_depth,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,0.094,0.000802
100000000,c4_en,4.80,no_role_depth,role_depth_v4,3,3,0,0,0,1,2,0,-546133.333,0.000,0.543,-0.010869
100000000,c4_en,4.80,no_role_depth,role_depth_v5,3,3,0,0,0,1,2,0,-546133.333,0.000,0.627,-0.014874
100000000,c4_en,4.80,no_role_depth,role_depth_v6,3,3,0,0,0,1,2,0,-546133.333,0.000,0.865,-0.010376
100000000,c4_en,5.00,full,no_role_depth,3,3,0,0,0,0,1,2,1092266.667,1638400.000,-0.157,0.014944
100000000,c4_en,5.00,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,0.700,0.000045
100000000,c4_en,5.00,full,role_depth_v3,3,3,0,0,0,0,1,2,1092266.667,1638400.000,-0.159,0.015746
100000000,c4_en,5.00,full,role_depth_v4,3,3,0,0,0,0,3,0,0.000,0.000,0.141,0.004075
100000000,c4_en,5.00,full,role_depth_v5,3,3,0,0,0,0,3,0,0.000,0.000,0.207,0.000070
100000000,c4_en,5.00,full,role_depth_v6,3,3,0,0,0,0,3,0,0.000,0.000,0.393,0.004568
100000000,c4_en,5.00,no_role_depth,full,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,0.157,-0.014944
100000000,c4_en,5.00,no_role_depth,role_depth_v2,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,0.857,-0.014899
100000000,c4_en,5.00,no_role_depth,role_depth_v3,3,3,0,0,0,0,3,0,0.000,0.000,-0.003,0.000802
100000000,c4_en,5.00,no_role_depth,role_depth_v4,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,0.298,-0.010869
100000000,c4_en,5.00,no_role_depth,role_depth_v5,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,0.364,-0.014874
100000000,c4_en,5.00,no_role_depth,role_depth_v6,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,0.550,-0.010376
100000000,dclm,4.30,full,no_role_depth,3,3,0,0,0,0,0,3,2730666.667,3276800.000,-3.417,0.012895
100000000,dclm,4.30,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,-1.256,-0.001679
100000000,dclm,4.30,full,role_depth_v3,3,3,0,0,0,0,0,3,3276800.000,3276800.000,-1.559,0.011716
100000000,dclm,4.30,full,role_depth_v4,3,3,0,0,0,0,2,1,546133.333,0.000,-2.099,0.002528
100000000,dclm,4.30,full,role_depth_v5,3,3,0,0,0,0,2,1,546133.333,0.000,-1.790,-0.000002
100000000,dclm,4.30,full,role_depth_v6,3,3,0,0,0,0,0,3,1638400.000,1638400.000,-1.174,0.004096
100000000,dclm,4.30,no_role_depth,full,3,3,0,0,0,3,0,0,-2730666.667,-3276800.000,3.417,-0.012895
100000000,dclm,4.30,no_role_depth,role_depth_v2,3,3,0,0,0,3,0,0,-2730666.667,-3276800.000,2.161,-0.014573
100000000,dclm,4.30,no_role_depth,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,1.858,-0.001179
100000000,dclm,4.30,no_role_depth,role_depth_v4,3,3,0,0,0,3,0,0,-2184533.333,-1638400.000,1.317,-0.010367
100000000,dclm,4.30,no_role_depth,role_depth_v5,3,3,0,0,0,3,0,0,-2184533.333,-1638400.000,1.627,-0.012896
100000000,dclm,4.30,no_role_depth,role_depth_v6,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,2.242,-0.008798
100000000,dclm,4.35,full,no_role_depth,3,3,0,0,0,0,0,3,2184533.333,1638400.000,-3.021,0.012895
100000000,dclm,4.35,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,-1.094,-0.001679
100000000,dclm,4.35,full,role_depth_v3,3,3,0,0,0,0,0,3,2184533.333,1638400.000,-1.489,0.011716
100000000,dclm,4.35,full,role_depth_v4,3,3,0,0,0,0,2,1,546133.333,0.000,-1.807,0.002528
100000000,dclm,4.35,full,role_depth_v5,3,3,0,0,0,0,2,1,546133.333,0.000,-1.547,-0.000002
100000000,dclm,4.35,full,role_depth_v6,3,3,0,0,0,0,1,2,1092266.667,1638400.000,-1.099,0.004096
100000000,dclm,4.35,no_role_depth,full,3,3,0,0,0,3,0,0,-2184533.333,-1638400.000,3.021,-0.012895
100000000,dclm,4.35,no_role_depth,role_depth_v2,3,3,0,0,0,3,0,0,-2184533.333,-1638400.000,1.928,-0.014573
100000000,dclm,4.35,no_role_depth,role_depth_v3,3,3,0,0,0,0,3,0,0.000,0.000,1.533,-0.001179
100000000,dclm,4.35,no_role_depth,role_depth_v4,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,1.215,-0.010367
100000000,dclm,4.35,no_role_depth,role_depth_v5,3,3,0,0,0,3,0,0,-1638400.000,-1638400.000,1.474,-0.012896
100000000,dclm,4.35,no_role_depth,role_depth_v6,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,1.922,-0.008798
100000000,dclm,4.45,full,no_role_depth,3,3,0,0,0,0,2,1,546133.333,0.000,-2.723,0.012895
100000000,dclm,4.45,full,role_depth_v2,3,3,0,0,0,0,2,1,546133.333,0.000,-0.759,-0.001679
100000000,dclm,4.45,full,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,-1.491,0.011716
100000000,dclm,4.45,full,role_depth_v4,3,3,0,0,0,0,2,1,546133.333,0.000,-1.462,0.002528
100000000,dclm,4.45,full,role_depth_v5,3,3,0,0,0,2,0,1,-546133.333,-1638400.000,-1.500,-0.000002
100000000,dclm,4.45,full,role_depth_v6,3,3,0,0,0,1,1,1,0.000,0.000,-1.105,0.004096
100000000,dclm,4.45,no_role_depth,full,3,3,0,0,0,1,2,0,-546133.333,0.000,2.723,-0.012895
100000000,dclm,4.45,no_role_depth,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,1.964,-0.014573
100000000,dclm,4.45,no_role_depth,role_depth_v3,3,3,0,0,0,0,3,0,0.000,0.000,1.233,-0.001179
100000000,dclm,4.45,no_role_depth,role_depth_v4,3,3,0,0,0,0,3,0,0.000,0.000,1.261,-0.010367
100000000,dclm,4.45,no_role_depth,role_depth_v5,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,1.224,-0.012896
100000000,dclm,4.45,no_role_depth,role_depth_v6,3,3,0,0,0,1,2,0,-546133.333,0.000,1.618,-0.008798
100000000,dclm,4.55,full,no_role_depth,3,3,0,0,0,0,1,2,1092266.667,1638400.000,-2.157,0.012895
100000000,dclm,4.55,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,-0.722,-0.001679
100000000,dclm,4.55,full,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,-1.228,0.011716
100000000,dclm,4.55,full,role_depth_v4,3,3,0,0,0,1,1,1,0.000,0.000,-1.312,0.002528
100000000,dclm,4.55,full,role_depth_v5,3,3,0,0,0,1,2,0,-546133.333,0.000,-1.258,-0.000002
100000000,dclm,4.55,full,role_depth_v6,3,3,0,0,0,1,2,0,-546133.333,0.000,-1.055,0.004096
100000000,dclm,4.55,no_role_depth,full,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,2.157,-0.012895
100000000,dclm,4.55,no_role_depth,role_depth_v2,3,3,0,0,0,2,1,0,-1092266.667,-1638400.000,1.434,-0.014573
100000000,dclm,4.55,no_role_depth,role_depth_v3,3,3,0,0,0,1,2,0,-546133.333,0.000,0.929,-0.001179
100000000,dclm,4.55,no_role_depth,role_depth_v4,3,3,0,0,0,1,2,0,-1092266.667,0.000,0.845,-0.010367
100000000,dclm,4.55,no_role_depth,role_depth_v5,3,3,0,0,0,2,1,0,-1638400.000,-1638400.000,0.899,-0.012896
100000000,dclm,4.55,no_role_depth,role_depth_v6,3,3,0,0,0,2,1,0,-1638400.000,-1638400.000,1.102,-0.008798
100000000,dclm,4.70,full,no_role_depth,3,3,0,0,0,0,2,1,546133.333,0.000,-1.761,0.012895
100000000,dclm,4.70,full,role_depth_v2,3,3,0,0,0,0,3,0,0.000,0.000,-0.560,-0.001679
100000000,dclm,4.70,full,role_depth_v3,3,3,0,0,0,0,2,1,546133.333,0.000,-0.928,0.011716
100000000,dclm,4.70,full,role_depth_v4,3,3,0,0,0,0,3,0,0.000,0.000,-1.023,0.002528
100000000,dclm,4.70,full,role_depth_v5,3,3,0,0,0,0,3,0,0.000,0.000,-0.893,-0.000002
100000000,dclm,4.70,full,role_depth_v6,3,3,0,0,0,0,3,0,0.000,0.000,-0.732,0.004096
100000000,dclm,4.70,no_role_depth,full,3,3,0,0,0,1,2,0,-546133.333,0.000,1.761,-0.012895
100000000,dclm,4.70,no_role_depth,role_depth_v2,3,3,0,0,0,1,2,0,-546133.333,0.000,1.201,-0.014573
100000000,dclm,4.70,no_role_depth,role_depth_v3,3,3,0,0,0,0,3,0,0.000,0.000,0.834,-0.001179
100000000,dclm,4.70,no_role_depth,role_depth_v4,3,3,0,0,0,1,2,0,-546133.333,0.000,0.738,-0.010367
